athlete_name,catapult_athlete_id,date,end_time,activity_name,athlete_weight,activity_id,athlete_jersey,start_time,position_name,team_name,month_name,day_name,field_time,bench_time,total_distance,total_duration,peak_player_load,total_player_load,total_2d_player_load,total_slow_player_load,total_1d_fwd_player_load,total_1d_side_player_load,total_1d_up_player_load,velocity_exertion,max_vel,peak_meta_power,equivalent_distance,meterage_per_minute
Allie Love,99ee597d-39b8-4fb7-9c63-0d052a15c0a8,09/28/2025,1759078506.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,17,1759075453.0,Central Midfielder,Rice WSOC,September,Sunday,3053.0,,0.34187,3053.0,4.14026,72.83667,47.83321,47.90694,28.34253,32.13104,46.60887,4.01173,11.78342,54.8552,0.37079,10.81258
Kirsten Ruf,9a8fba27-951b-4253-aac1-ae31800ac075,09/28/2025,1759082664.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,22,1759075453.0,Goalkeeper,Rice WSOC,September,Sunday,6129.0,,2.52456,6129.0,6.67044,337.74298,217.43326,240.91673,125.86703,150.0215,221.60555,14.59543,13.53135,89.62933,2.78795,39.7737
Lilly Reuscher,ad2c003d-9ca2-42b1-bc85-2440ab303b84,09/28/2025,1759082664.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,4,1759075453.0,Centre Back,Rice WSOC,September,Sunday,6129.0,,4.98499,6129.0,6.48093,818.99658,513.386,335.49579,288.25433,362.00555,551.9187,52.94633,16.53175,79.55825,5.47251,78.53707
Lauren Pickup,ae01c819-c49a-41ef-aa65-20df1a8a40a9,09/28/2025,1759078506.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,8,1759075453.0,Full Back,Rice WSOC,September,Sunday,3053.0,,0.99503,3053.0,3.27472,184.5787,117.8006,81.23207,63.90892,84.35378,121.51074,11.13772,15.18329,70.45802,1.14745,31.47094
Mariana Elizondo,c3d64405-eb5d-4fc0-a8df-06af8ad627bf,09/28/2025,1759082664.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,10,1759075453.0,Central Midfielder,Rice WSOC,September,Sunday,6129.0,,5.56462,6129.0,5.10702,975.51682,596.93271,298.2666,366.72973,394.65769,674.05899,79.26306,14.07858,82.68362,6.1636,87.66894
Dayo Tennyson,d0c5a2ec-d0d5-4ae1-bc9f-ae270bfc51e9,09/28/2025,1759082664.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,3,1759075453.0,Full Back,Rice WSOC,September,Sunday,6129.0,,5.36002,6129.0,8.05341,1221.84973,806.5042,479.42995,517.51093,507.6133,757.92923,60.70991,16.67312,103.02625,6.1766,84.44552
Chelsea Cross,d654a3c8-46fc-4466-b132-8b2ba7258344,09/28/2025,1759078506.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,24,1759075453.0,Central Midfielder,Rice WSOC,September,Sunday,3053.0,,0.93351,3053.0,4.09898,194.73569,115.1692,72.96266,73.24815,72.88747,137.3779,12.39921,12.72635,59.75885,1.07492,29.52519
Olivia Duvall,d91f4f1a-979c-4c34-bb2f-a8b1f5176b9e,09/28/2025,1759078506.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,14,1759075453.0,Wide Midfielder,Rice WSOC,September,Sunday,3053.0,,1.53187,3053.0,4.29328,244.97096,152.08139,80.62982,91.37834,101.71816,166.22607,22.95221,17.4479,88.85088,1.7805,48.45009
Camille Quarterman,e710b8f7-8542-490c-80f0-c110cb9ed839,09/28/2025,1759082664.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,33,1759075453.0,Wide Midfielder,Rice WSOC,September,Sunday,6129.0,,3.36798,6129.0,5.25369,674.45947,430.36908,300.42784,238.25963,308.8737,432.73947,39.49554,18.53612,87.05157,3.86449,53.06154
Jordyn Mariam,f7e75558-805b-459d-b944-ec8d5a5beeac,09/28/2025,1759082664.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,5,1759075453.0,Wide Midfielder,Rice WSOC,September,Sunday,6129.0,,2.2676,6129.0,5.35573,459.69193,310.88951,160.40654,198.99934,198.67267,285.90723,29.87751,14.45695,70.48367,2.64078,35.72534
Piper Biziorek,fb332127-6268-4995-a140-9076566dc702,09/28/2025,1759082664.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,15,1759075453.0,Central Midfielder,Rice WSOC,September,Sunday,6129.0,,5.59337,6129.0,4.74836,1083.22919,716.59889,303.43149,384.98965,520.94031,689.91763,79.90106,15.7691,80.01437,6.47709,88.12201
Naija Bruckner,59840313-0841-4a21-a5b5-b8b24cad01b8,09/28/2025,1759082664.0,vs Memphis 9.28.25,201,353a1f85-9dbb-496b-bea7-d008d4a61daa,28,1759075453.0,Central Midfielder,Rice WSOC,September,Sunday,6129.0,,6.04879,6129.0,7.32496,991.05984,585.90872,319.60034,347.36693,399.70292,697.11482,79.05109,16.16486,101.36959,6.82966,95.29688
Naija Bruckner,59840313-0841-4a21-a5b5-b8b24cad01b8,09/24/2025,1758720170.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,28,1758718571.0,Central Midfielder,Rice WSOC,September,Wednesday,1590.0,0.0,0.93926,1590.0,4.50177,170.61401,102.83001,76.80529,62.09126,68.62743,119.30996,10.13581,14.69076,81.38207,1.09256,57.0414
Jessica Molina,49ee30cf-715d-49d2-bfd4-f208c806a5db,09/24/2025,1758720170.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,16,1758718571.0,Forward,Rice WSOC,September,Wednesday,1590.0,0.0,0.34944,1590.0,2.52477,61.2193,35.00474,37.02756,20.47435,23.81155,43.93909,3.00413,12.48462,62.96831,0.38285,21.22159
Mariana Elizondo,c3d64405-eb5d-4fc0-a8df-06af8ad627bf,09/24/2025,1758720170.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,10,1758719042.0,Central Midfielder,Rice WSOC,September,Wednesday,1128.0,0.0,0.78217,1128.0,3.76657,139.32204,80.88322,44.93353,50.68527,52.52233,100.01543,8.96775,14.62359,50.67186,0.88101,66.95655
Lauren Pickup,ae01c819-c49a-41ef-aa65-20df1a8a40a9,09/24/2025,1758720170.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,8,1758718571.0,Full Back,Rice WSOC,September,Wednesday,1590.0,0.0,0.97719,1590.0,2.86485,160.57228,100.55199,63.5643,54.12661,73.25952,107.59689,12.29807,12.10956,66.74463,1.12213,59.34487
Sophie Zhang,713ce913-8f9b-41cb-b395-b08e3e69186f,09/24/2025,1758720170.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,9,1758718571.0,Forward,Rice WSOC,September,Wednesday,1590.0,0.0,0.87084,1590.0,4.13389,156.47473,95.76241,71.56299,54.31865,66.68402,106.59093,8.80041,16.0389,66.13409,1.00889,52.88604
Taylor Rish,81828efc-2855-4216-a0d1-6a7c9201d5a0,09/24/2025,1758720170.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,7,1758718571.0,Full Back,Rice WSOC,September,Wednesday,1590.0,0.0,0.89897,1590.0,5.42269,160.16347,98.0341,63.41623,62.10402,62.46222,109.70934,7.6105,16.54857,76.97038,1.01923,54.59464
Betty Velkova,8b0cb352-4da9-4349-b147-77a3736ea957,09/24/2025,1758720170.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,19,1758718571.0,Forward,Rice WSOC,September,Wednesday,1590.0,0.0,0.94549,1590.0,4.39209,179.4816,107.8414,64.83527,64.31909,72.32474,124.19321,11.92517,13.62709,64.42725,1.05502,57.41944
Jadyn Jaeger,8e9bb6cd-180e-47be-afa1-39abe9300b25,09/24/2025,1758720170.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,11,1758718571.0,Full Back,Rice WSOC,September,Wednesday,1590.0,0.0,0.8979,1590.0,3.14086,140.51956,91.17591,61.36432,59.32066,57.37051,91.89639,10.37887,12.16599,69.85933,1.01775,54.52924
Jules Johnston,931babc9-289c-47bf-970a-22d756ac9f5a,09/24/2025,1758720170.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,25,1758718571.0,Forward,Rice WSOC,September,Wednesday,1590.0,0.0,0.89507,1590.0,3.79908,173.63786,113.35767,80.96995,65.26714,78.37337,112.71771,10.09603,14.25761,57.9308,0.99878,54.3577
Allie Love,99ee597d-39b8-4fb7-9c63-0d052a15c0a8,09/24/2025,1758720170.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,17,1758718571.0,Central Midfielder,Rice WSOC,September,Wednesday,1590.0,0.0,0.10569,1590.0,1.20153,14.60247,10.50182,14.44209,6.29268,7.04556,8.01282,1.08781,4.1214,11.19342,0.10677,6.41864
Kirsten Ruf,9a8fba27-951b-4253-aac1-ae31800ac075,09/24/2025,1758720305.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,22,1758717795.0,Goalkeeper,Rice WSOC,September,Wednesday,2509.98,0.0,1.20064,2510.0,3.6146,201.89607,128.52445,138.62176,79.54245,84.14046,133.38836,8.37827,13.57631,67.73444,1.34239,47.0551
Laurel Kelley,a3fa5f45-c40a-44d8-ae81-6ac82f3fc9ef,09/24/2025,1758720170.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,21,1758719042.0,Forward,Rice WSOC,September,Wednesday,1128.0,0.0,0.39013,1128.0,3.74576,68.71875,44.31815,28.91954,24.63104,31.61122,45.30171,3.93487,13.58039,56.20368,0.44691,33.39628
Lilly Reuscher,ad2c003d-9ca2-42b1-bc85-2440ab303b84,09/24/2025,1758720170.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,4,1758718571.0,Centre Back,Rice WSOC,September,Wednesday,1590.0,0.0,0.83623,1590.0,3.11194,154.26231,96.09327,74.57129,53.68964,68.15198,104.01807,8.7367,11.94214,59.22147,0.93712,50.78434
Carsyn Martz,5ec6f0de-aa33-44a6-9b7e-676076c27478,09/24/2025,1758720170.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,20,1758718571.0,Centre Back,Rice WSOC,September,Wednesday,1590.0,0.0,0.85582,1590.0,4.76244,135.56219,80.7169,63.99427,49.00882,53.544,95.46612,8.32337,13.61433,54.42767,0.94436,51.97378
Sam Walker,ce80f564-5fb7-4c34-8faf-d75015152871,09/24/2025,1758720305.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,30,1758717795.0,Goalkeeper,Rice WSOC,September,Wednesday,2556.98,-47.0,1.54564,2557.0,4.07675,286.75354,188.9107,165.65276,111.13224,127.30564,182.79229,13.79572,14.35685,72.40197,1.74457,59.19973
Chelsea Cross,d654a3c8-46fc-4466-b132-8b2ba7258344,09/24/2025,1758720170.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,24,1758718571.0,Central Midfielder,Rice WSOC,September,Wednesday,1590.0,0.0,0.89444,1590.0,4.48108,154.84936,86.38255,58.94751,50.67986,59.13092,112.82568,10.1825,12.48603,47.4175,0.98119,54.31933
Olivia Duvall,d91f4f1a-979c-4c34-bb2f-a8b1f5176b9e,09/24/2025,1758720170.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,14,1758718571.0,Wide Midfielder,Rice WSOC,September,Wednesday,1590.0,0.0,0.71852,1590.0,3.77636,113.02054,72.18768,60.37545,44.6652,47.59898,74.78513,6.89271,14.13889,82.30074,0.84453,43.63559
Camille Quarterman,e710b8f7-8542-490c-80f0-c110cb9ed839,09/24/2025,1758720170.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,33,1758718571.0,Wide Midfielder,Rice WSOC,September,Wednesday,1590.0,0.0,0.68645,1590.0,10.62914,249.76066,192.15826,117.63711,102.2435,141.43666,127.65431,4.50282,14.82522,127.25284,0.87419,41.68804
Mia Brumlow,e9141800-8f9c-4a98-8265-2ae17f48913e,09/24/2025,1758720170.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,13,1758718571.0,Wide Midfielder,Rice WSOC,September,Wednesday,1590.0,0.0,0.83097,1590.0,4.2254,145.68646,87.3708,71.65109,52.50858,59.32452,101.22055,9.06153,15.08701,61.8658,0.92578,50.46495
Jordyn Mariam,f7e75558-805b-459d-b944-ec8d5a5beeac,09/24/2025,1758720170.0,Prep 9.24.25,201,f273e94d-c599-4f7b-ba70-867638309b07,5,1758718571.0,Wide Midfielder,Rice WSOC,September,Wednesday,1590.0,0.0,0.84981,1590.0,4.22086,150.01244,96.61589,69.92168,57.67482,65.7058,96.1346,9.58567,13.77526,64.03356,0.96031,51.60887
Carsyn Martz,5ec6f0de-aa33-44a6-9b7e-676076c27478,09/23/2025,1758663233.0,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,20,1758659315.59,Centre Back,Rice WSOC,September,Tuesday,3620.5,0.0,2.44754,3620.52,4.39473,376.13518,302.34592,242.83013,109.71094,259.12258,175.54607,14.45942,15.08356,82.73436,2.78893,68.22786
Bailey Peek,1d2f6fbf-8215-4ae2-ae70-ed9d981fcd85,09/23/2025,1758663542.49,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,6,1758659315.59,Centre Back,Rice WSOC,September,Tuesday,3908.89,0.0,2.5466,3908.89,3.97045,402.73626,254.41712,183.05572,140.74132,181.83089,266.88387,30.53352,15.1827,68.72469,2.81527,62.90813
Kenna Sanders,457dc155-bdf2-48cc-8a59-2f0b4ec42ae2,09/23/2025,1758663542.49,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,18,1758659315.59,Forward,Rice WSOC,September,Tuesday,3908.87,0.0,2.32321,3908.89,3.69761,446.7077,289.85334,199.87463,168.33,199.99272,286.40778,27.16663,13.44392,58.40814,2.53862,57.84115
Jessica Molina,49ee30cf-715d-49d2-bfd4-f208c806a5db,09/23/2025,1758663233.0,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,16,1758659315.59,Forward,Rice WSOC,September,Tuesday,3620.5,0.0,1.38663,3620.52,3.62138,224.09174,147.09261,139.42623,93.68688,93.43105,144.8017,13.14728,14.94364,75.78568,1.5214,37.78977
Naija Bruckner,59840313-0841-4a21-a5b5-b8b24cad01b8,09/23/2025,1758663233.0,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,28,1758659315.59,Central Midfielder,Rice WSOC,September,Tuesday,3620.5,0.0,1.80927,3620.52,4.14029,319.31119,194.25659,173.31021,119.86569,128.11259,219.17112,16.86026,16.20524,81.03928,2.08773,48.54346
Isabelle Kent,6e66b652-d707-4f6a-86d3-61696dab1831,09/23/2025,1758663542.49,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,2,1758659315.59,Full Back,Rice WSOC,September,Tuesday,3908.89,0.0,2.54493,3908.89,3.77922,373.89053,221.45934,161.38136,121.08385,159.56809,261.446,25.62915,14.95648,72.28389,2.8032,62.86705
Sophie Zhang,713ce913-8f9b-41cb-b395-b08e3e69186f,09/23/2025,1758663233.0,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,9,1758659315.59,Forward,Rice WSOC,September,Tuesday,3620.51,0.0,2.2802,3620.52,4.81945,441.20704,282.38669,221.60279,173.31254,185.50463,291.69999,19.95977,15.12474,72.87065,2.60404,60.86954
Mariana Elizondo,c3d64405-eb5d-4fc0-a8df-06af8ad627bf,09/23/2025,1758663233.0,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,10,1758659315.59,Central Midfielder,Rice WSOC,September,Tuesday,3620.52,0.0,2.2675,3620.52,3.3649,391.0346,248.24216,204.75324,154.36775,163.24221,260.00174,19.93624,15.25972,74.56256,2.56786,60.47503
Kirsten Ruf,9a8fba27-951b-4253-aac1-ae31800ac075,09/23/2025,1758663233.0,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,22,1758659315.59,Goalkeeper,Rice WSOC,September,Tuesday,3854.52,0.0,1.70071,3854.52,4.612,268.39,179.61568,184.91855,111.19758,117.32655,170.05834,9.28541,14.36223,96.65607,1.89721,42.60507
Eileen Albers,943afa05-aaac-4426-ba0c-1ebef4e76cb7,09/23/2025,1758663233.0,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,12,1758659315.59,Forward,Rice WSOC,September,Tuesday,3620.52,0.0,1.94879,3620.52,3.53839,286.11916,159.91833,135.62201,96.5918,107.05569,209.44625,15.45522,15.57495,81.97388,2.19083,51.97503
Jules Johnston,931babc9-289c-47bf-970a-22d756ac9f5a,09/23/2025,1758663542.49,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,25,1758659315.59,Forward,Rice WSOC,September,Tuesday,3908.87,0.0,2.30932,3908.89,3.77841,406.91412,260.35117,184.64058,146.92628,183.58972,272.38525,25.83046,15.51379,80.5581,2.57521,58.38193
Laurel Kelley,a3fa5f45-c40a-44d8-ae81-6ac82f3fc9ef,09/23/2025,1758663233.0,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,21,1758659315.59,Forward,Rice WSOC,September,Tuesday,3620.52,0.0,1.5734,3620.52,3.92513,282.22447,185.80367,157.23346,108.83896,127.86026,182.49249,12.27739,14.44305,69.62801,1.7741,41.96308
Jadyn Jaeger,8e9bb6cd-180e-47be-afa1-39abe9300b25,09/23/2025,1758663233.0,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,11,1758659315.59,Full Back,Rice WSOC,September,Tuesday,3620.52,0.0,2.44197,3620.52,3.54701,329.36216,208.57396,176.50109,136.6509,129.59122,220.72005,24.80803,15.30968,78.26782,2.74788,65.12821
Betty Velkova,8b0cb352-4da9-4349-b147-77a3736ea957,09/23/2025,1758663542.49,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,19,1758659315.59,Forward,Rice WSOC,September,Tuesday,3908.89,0.0,2.41381,3908.89,5.7958,427.50621,269.0234,169.4304,173.94053,166.70723,287.62256,25.26226,14.67788,70.91655,2.65227,59.62783
Leah Chancey,85ed14d3-34f0-42fc-8477-c03064e998f4,09/23/2025,1758663233.0,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,23,1758659315.59,Forward,Rice WSOC,September,Tuesday,3620.52,0.0,1.69955,3620.52,4.07249,289.7529,186.68916,144.82609,112.99659,123.81438,190.00705,13.28099,13.77,58.90576,1.88392,45.32759
Taylor Rish,81828efc-2855-4216-a0d1-6a7c9201d5a0,09/23/2025,1758663233.0,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,7,1758659315.59,Full Back,Rice WSOC,September,Tuesday,3620.51,0.0,2.14949,3620.52,3.90457,280.34152,163.3077,147.23483,99.10203,107.80384,201.08723,17.24626,15.30983,82.49055,2.42966,58.45232
Megan Sweeney,76ec7312-9b6e-4355-a747-4de0c8e2d8b9,09/23/2025,1758663542.49,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,0,1758659315.59,Goalkeeper,Rice WSOC,September,Tuesday,4142.89,0.0,2.28921,4142.89,4.94087,386.66847,254.58417,179.83836,151.37777,173.2644,249.48886,28.33445,14.72639,76.15931,2.50545,53.35596
Lilly Reuscher,ad2c003d-9ca2-42b1-bc85-2440ab303b84,09/23/2025,1758663233.0,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,4,1758659315.59,Centre Back,Rice WSOC,September,Tuesday,3620.52,0.0,1.64083,3620.52,4.59717,279.11086,181.12304,170.26466,97.60896,131.31761,181.26968,10.96371,14.70916,69.42461,1.82631,43.76163
Lauren Pickup,ae01c819-c49a-41ef-aa65-20df1a8a40a9,09/23/2025,1758663542.49,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,8,1758659315.59,Full Back,Rice WSOC,September,Tuesday,3908.89,0.0,2.82076,3908.89,3.62611,450.64462,290.8342,188.22626,157.19176,210.31803,293.0783,36.24868,15.22009,91.77061,3.20634,69.68075
Allie Love,99ee597d-39b8-4fb7-9c63-0d052a15c0a8,09/23/2025,1758663542.49,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,17,1758659315.59,Central Midfielder,Rice WSOC,September,Tuesday,3908.89,0.0,2.51966,3908.89,3.59452,387.17536,240.67586,156.80468,141.49208,164.07764,263.00193,33.5524,14.37009,62.92589,2.78987,62.24281
Sam Walker,ce80f564-5fb7-4c34-8faf-d75015152871,09/23/2025,1758663542.49,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,30,1758659315.59,Goalkeeper,Rice WSOC,September,Tuesday,4142.89,0.0,2.20788,4142.89,7.08605,373.00498,256.64383,221.00534,150.02973,174.46537,226.32842,18.6166,15.30382,82.05621,2.49273,51.4604
Dayo Tennyson,d0c5a2ec-d0d5-4ae1-bc9f-ae270bfc51e9,09/23/2025,1758663233.0,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,3,1758659315.59,Full Back,Rice WSOC,September,Tuesday,3620.52,0.0,1.88514,3620.52,5.39353,427.91519,284.73014,261.60934,177.95167,179.27391,259.66852,11.65033,16.42282,100.01928,2.19982,50.27747
Chelsea Cross,d654a3c8-46fc-4466-b132-8b2ba7258344,09/23/2025,1758663542.49,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,24,1758659315.59,Central Midfielder,Rice WSOC,September,Tuesday,3908.88,0.0,2.36799,3908.89,3.7151,414.51623,238.3007,152.18896,137.85441,164.15728,296.52205,36.76424,14.23139,68.66535,2.62748,58.58702
Olivia Duvall,d91f4f1a-979c-4c34-bb2f-a8b1f5176b9e,09/23/2025,1758663542.49,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,14,1758659315.59,Wide Midfielder,Rice WSOC,September,Tuesday,3908.88,0.0,2.68992,3908.89,4.12243,374.69144,230.28229,161.90316,136.01661,156.71353,253.03262,28.68705,15.38584,88.15176,3.03485,67.21365
Camille Quarterman,e710b8f7-8542-490c-80f0-c110cb9ed839,09/23/2025,1758663233.0,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,33,1758659315.59,Wide Midfielder,Rice WSOC,September,Tuesday,3620.51,0.0,2.26831,3620.52,4.43443,430.51756,285.98524,213.01131,173.93009,190.27108,268.13107,18.97244,16.63192,83.40013,2.62637,60.94395
Mia Brumlow,e9141800-8f9c-4a98-8265-2ae17f48913e,09/23/2025,1758663542.49,Organizational 9.23.25,201,967340f3-5459-4080-b370-7396508c03c8,13,1758659315.59,Wide Midfielder,Rice WSOC,September,Tuesday,3908.89,0.0,2.29262,3908.89,3.91428,394.96235,245.81911,193.26529,154.53359,159.40198,267.89026,22.12308,15.77249,76.53578,2.54354,56.63428
